Stadt/Markt/Gemeinde,Corona-Fälle gesamt*
Adelshofen,53
Arberg,75
Aurach,138
Bechhofen,419
Bruckberg,82
Buch a.Wald,48
Burgoberbach,177
Burk,115
Colmberg,91
Dentlein,139
Diebach,57
Dietenhofen,279
Dinkelsbühl,994
Dombühl,212
Dürrwangen,183
Ehingen,209
Feuchtwangen,1064
Flachslanden,114
Gebsattel,106
Gerolfingen,50
Geslau,60
Heilsbronn,536
Herrieden,431
Insingen,69
Langfurth,163
Lehrberg,222
Leutershausen,276
Lichtenau,138
Merkendorf,153
Mitteleschenbach,95
Mönchsroth,103
Neuendettelsau,583
"Neusitz, Mittelfr",117
Oberdachstetten,81
Ohrenbach,31
Ornbau,96
Petersaurach,270
Röckingen,45
Rothenburg ob der Tauber,732
Rügland,64
Sachsen b. Ansbach,161
Schillingsfürst,175
Schnelldorf,275
Schopfloch,223
Steinsfeld,63
Unterschwaningen,75
Wassertrüdingen,594
Weidenbach,153
Weihenzell,146
Weiltingen,112
Wettringen,87
Wieseth,143
Wilburgstetten,126
Windelsbach,63
Windsbach,379
Wittelshofen,81
Wolframs-Eschenbach,150
Wörnitz,120
Landkreis Ansbach gesamt,11995
Stadt Ansbach,2654
