Stadt/Markt/Gemeinde,Corona-Fälle gesamt*
Adelshofen,78
Arberg,188
Aurach,284
Bechhofen,685
Bruckberg,145
Buch a.Wald,107
Burgoberbach,318
Burk,160
Colmberg,172
Dentlein,197
Diebach,115
Dietenhofen,439
Dinkelsbühl,1476
Dombühl,282
Dürrwangen,256
Ehingen,344
Feuchtwangen,1521
Flachslanden,185
Gebsattel,152
Gerolfingen,106
Geslau,130
Heilsbronn,871
Herrieden,714
Insingen,109
Langfurth,237
Lehrberg,293
Leutershausen,585
Lichtenau,320
Merkendorf,314
Mitteleschenbach,153
Mönchsroth,157
Neuendettelsau,872
"Neusitz, Mittelfr",167
Oberdachstetten,153
Ohrenbach,33
Ornbau,165
Petersaurach,422
Röckingen,85
Rothenburg ob der Tauber,1038
Rügland,120
Sachsen b. Ansbach,285
Schillingsfürst,256
Schnelldorf,414
Schopfloch,331
Steinsfeld,83
Unterschwaningen,105
Wassertrüdingen,848
Weidenbach,241
Weihenzell,226
Weiltingen,157
Wettringen,115
Wieseth,216
Wilburgstetten,223
Windelsbach,92
Windsbach,598
Wittelshofen,122
Wolframs-Eschenbach,249
Wörnitz,201
Landkreis Ansbach gesamt,18910
Stadt Ansbach,4232
