Stadt/Markt/Gemeinde,Corona-Fälle gesamt*
Adelshofen,76
Arberg,180
Aurach,263
Bechhofen,659
Bruckberg,144
Buch a.Wald,106
Burgoberbach,304
Burk,158
Colmberg,154
Dentlein,194
Diebach,113
Dietenhofen,413
Dinkelsbühl,1428
Dombühl,279
Dürrwangen,251
Ehingen,330
Feuchtwangen,1466
Flachslanden,173
Gebsattel,150
Gerolfingen,104
Geslau,125
Heilsbronn,830
Herrieden,694
Insingen,106
Langfurth,234
Lehrberg,286
Leutershausen,562
Lichtenau,303
Merkendorf,296
Mitteleschenbach,143
Mönchsroth,154
Neuendettelsau,842
"Neusitz, Mittelfr",167
Oberdachstetten,146
Ohrenbach,33
Ornbau,160
Petersaurach,401
Röckingen,84
Rothenburg ob der Tauber,972
Rügland,118
Sachsen b. Ansbach,268
Schillingsfürst,254
Schnelldorf,407
Schopfloch,328
Steinsfeld,79
Unterschwaningen,101
Wassertrüdingen,823
Weidenbach,228
Weihenzell,221
Weiltingen,155
Wettringen,113
Wieseth,215
Wilburgstetten,222
Windelsbach,88
Windsbach,595
Wittelshofen,119
Wolframs-Eschenbach,239
Wörnitz,189
Landkreis Ansbach gesamt,18246
Stadt Ansbach,4027
