AGS,last7,last14,mix,Gemeinde
9571111,0,2,0.6,Adelshofen
9571113,0,0,0.2,Arberg
9571114,0,2,0.6,Aurach
9571115,4,25,4.0,Bechhofen
9571122,0,2,0.6,Bruckberg
9571125,0,2,0.6,Buch a.Wald
9571127,1,3,1.0,Burgoberbach
9571128,0,2,0.6,Burk
9571130,2,6,2.0,Colmberg
9571132,1,23,1.0,Dentlein
9571134,2,10,2.0,Diebach
9571135,2,21,2.0,Dietenhofen
9571136,10,41,10.0,Dinkelsbühl
9571137,5,38,5.0,Dombühl
9571139,2,3,2.0,Dürrwangen
9571141,2,14,2.0,Ehingen
9571145,26,64,26.0,Feuchtwangen
9571146,0,0,0.2,Flachslanden
9571152,1,5,1.0,Gebsattel
9571154,0,0,0.2,Gerolfingen
9571155,0,2,0.6,Geslau
9571165,5,22,5.0,Heilsbronn
9571166,3,18,3.0,Herrieden
9571169,0,2,0.6,Insingen
9571170,0,6,0.6,Langfurth
9571171,2,10,2.0,Lehrberg
9571174,2,6,2.0,Leutershausen
9571175,1,1,1.0,Lichtenau
9571177,0,12,0.6,Merkendorf
9571178,0,0,0.2,Mitteleschenbach
9571179,0,2,0.6,Mönchsroth
9571180,2,10,2.0,Neuendettelsau
9571181,0,5,0.6,"Neusitz, Mittelfr"
9571183,1,10,1.0,Oberdachstetten
9571188,0,0,0.2,Ohrenbach
9571189,0,4,0.6,Ornbau
9571190,0,4,0.6,Petersaurach
9571192,0,1,0.6,Röckingen
9571193,4,25,4.0,Rothenburg ob der Tauber
9571194,0,1,0.6,Rügland
9571196,1,7,1.0,Sachsen b. Ansbach
9571198,5,24,5.0,Schillingsfürst
9571199,2,31,2.0,Schnelldorf
9571200,2,4,2.0,Schopfloch
9571205,1,2,1.0,Steinsfeld
9571208,0,3,0.6,Unterschwaningen
9571214,7,35,7.0,Wassertrüdingen
9571216,2,9,2.0,Weidenbach
9571217,0,2,0.6,Weihenzell
9571218,0,4,0.6,Weiltingen
9571222,0,2,0.6,Wettringen
9571223,1,14,1.0,Wieseth
9571224,1,4,1.0,Wilburgstetten
9571225,0,0,0.2,Windelsbach
9571226,0,9,0.6,Windsbach
9571227,2,3,2.0,Wittelshofen
9571229,0,7,0.6,Wolframs-Eschenbach
9571228,4,17,4.0,Wörnitz
9561000,25,98,25.0,Stadt Ansbach
