Stadt/Markt/Gemeinde,Corona-Fälle gesamt*
Adelshofen,70
Arberg,174
Aurach,247
Bechhofen,647
Bruckberg,141
Buch a.Wald,93
Burgoberbach,285
Burk,156
Colmberg,133
Dentlein,187
Diebach,110
Dietenhofen,392
Dinkelsbühl,1331
Dombühl,272
Dürrwangen,240
Ehingen,320
Feuchtwangen,1380
Flachslanden,163
Gebsattel,143
Gerolfingen,95
Geslau,112
Heilsbronn,795
Herrieden,674
Insingen,103
Langfurth,232
Lehrberg,277
Leutershausen,526
Lichtenau,294
Merkendorf,282
Mitteleschenbach,137
Mönchsroth,142
Neuendettelsau,796
"Neusitz, Mittelfr",156
Oberdachstetten,139
Ohrenbach,33
Ornbau,147
Petersaurach,366
Röckingen,80
Rothenburg ob der Tauber,937
Rügland,116
Sachsen b. Ansbach,239
Schillingsfürst,236
Schnelldorf,396
Schopfloch,323
Steinsfeld,78
Unterschwaningen,97
Wassertrüdingen,782
Weidenbach,209
Weihenzell,219
Weiltingen,142
Wettringen,111
Wieseth,212
Wilburgstetten,208
Windelsbach,88
Windsbach,574
Wittelshofen,111
Wolframs-Eschenbach,231
Wörnitz,170
Landkreis Ansbach gesamt,17350
Stadt Ansbach,3819
