Stadt/Markt/Gemeinde,Corona-Fälle gesamt*
Adelshofen,56
Arberg,118
Aurach,153
Bechhofen,483
Bruckberg,91
Buch a.Wald,57
Burgoberbach,202
Burk,132
Colmberg,100
Dentlein,148
Diebach,62
Dietenhofen,310
Dinkelsbühl,1070
Dombühl,233
Dürrwangen,202
Ehingen,249
Feuchtwangen,1144
Flachslanden,127
Gebsattel,112
Gerolfingen,57
Geslau,66
Heilsbronn,585
Herrieden,488
Insingen,71
Langfurth,187
Lehrberg,243
Leutershausen,350
Lichtenau,186
Merkendorf,171
Mitteleschenbach,108
Mönchsroth,105
Neuendettelsau,624
"Neusitz, Mittelfr",128
Oberdachstetten,95
Ohrenbach,31
Ornbau,108
Petersaurach,292
Röckingen,53
Rothenburg ob der Tauber,763
Rügland,76
Sachsen b. Ansbach,174
Schillingsfürst,194
Schnelldorf,305
Schopfloch,248
Steinsfeld,65
Unterschwaningen,81
Wassertrüdingen,637
Weidenbach,173
Weihenzell,157
Weiltingen,116
Wettringen,91
Wieseth,166
Wilburgstetten,137
Windelsbach,70
Windsbach,435
Wittelshofen,96
Wolframs-Eschenbach,162
Wörnitz,131
Landkreis Ansbach gesamt,13274
Stadt Ansbach,2905
