Stadt/Markt/Gemeinde,Corona-Fälle gesamt*
Adelshofen,56
Arberg,151
Aurach,189
Bechhofen,531
Bruckberg,102
Buch a.Wald,59
Burgoberbach,229
Burk,144
Colmberg,105
Dentlein,163
Diebach,71
Dietenhofen,328
Dinkelsbühl,1169
Dombühl,248
Dürrwangen,221
Ehingen,284
Feuchtwangen,1209
Flachslanden,140
Gebsattel,133
Gerolfingen,73
Geslau,78
Heilsbronn,634
Herrieden,543
Insingen,75
Langfurth,208
Lehrberg,254
Leutershausen,394
Lichtenau,237
Merkendorf,188
Mitteleschenbach,119
Mönchsroth,114
Neuendettelsau,677
"Neusitz, Mittelfr",134
Oberdachstetten,107
Ohrenbach,31
Ornbau,120
Petersaurach,316
Röckingen,60
Rothenburg ob der Tauber,817
Rügland,86
Sachsen b. Ansbach,202
Schillingsfürst,207
Schnelldorf,332
Schopfloch,269
Steinsfeld,65
Unterschwaningen,87
Wassertrüdingen,690
Weidenbach,188
Weihenzell,170
Weiltingen,129
Wettringen,97
Wieseth,189
Wilburgstetten,167
Windelsbach,74
Windsbach,483
Wittelshofen,100
Wolframs-Eschenbach,175
Wörnitz,148
Landkreis Ansbach gesamt,14569
Stadt Ansbach,3154
