Stadt/Markt/Gemeinde,Corona-Fälle gesamt*
Adelshofen,46
Arberg,60
Aurach,121
Bechhofen,378
Bruckberg,70
Buch a.Wald,47
Burgoberbach,157
Burk,110
Colmberg,85
Dentlein,130
Diebach,57
Dietenhofen,247
Dinkelsbühl,915
Dombühl,202
Dürrwangen,167
Ehingen,165
Feuchtwangen,1026
Flachslanden,106
Gebsattel,99
Gerolfingen,47
Geslau,56
Heilsbronn,504
Herrieden,405
Insingen,63
Langfurth,137
Lehrberg,190
Leutershausen,236
Lichtenau,127
Merkendorf,130
Mitteleschenbach,84
Mönchsroth,103
Neuendettelsau,533
"Neusitz, Mittelfr",109
Oberdachstetten,75
Ohrenbach,29
Ornbau,85
Petersaurach,252
Röckingen,39
Rothenburg ob der Tauber,698
Rügland,56
Sachsen b. Ansbach,141
Schillingsfürst,159
Schnelldorf,267
Schopfloch,220
Steinsfeld,55
Unterschwaningen,69
Wassertrüdingen,533
Weidenbach,132
Weihenzell,137
Weiltingen,102
Wettringen,86
Wieseth,126
Wilburgstetten,117
Windelsbach,56
Windsbach,339
Wittelshofen,72
Wolframs-Eschenbach,140
Wörnitz,114
Landkreis Ansbach gesamt,11011
Stadt Ansbach,2479
