Stadt/Markt/Gemeinde,Corona-Fälle gesamt*
Adelshofen,121
Arberg,259
Aurach,497
Bechhofen,962
Bruckberg,197
Buch a.Wald,196
Burgoberbach,498
Burk,211
Colmberg,337
Dentlein,309
Diebach,181
Dietenhofen,823
Dinkelsbühl,2338
Dombühl,395
Dürrwangen,413
Ehingen,465
Feuchtwangen,2440
Flachslanden,283
Gebsattel,248
Gerolfingen,206
Geslau,222
Heilsbronn,1531
Herrieden,1212
Insingen,145
Langfurth,338
Lehrberg,485
Leutershausen,924
Lichtenau,552
Merkendorf,427
Mitteleschenbach,289
Mönchsroth,223
Neuendettelsau,1254
"Neusitz, Mittelfr",251
Oberdachstetten,218
Ohrenbach,54
Ornbau,243
Petersaurach,616
Röckingen,110
Rothenburg ob der Tauber,1503
Rügland,190
Sachsen b. Ansbach,452
Schillingsfürst,390
Schnelldorf,671
Schopfloch,481
Steinsfeld,120
Unterschwaningen,134
Wassertrüdingen,1195
Weidenbach,315
Weihenzell,344
Weiltingen,221
Wettringen,172
Wieseth,280
Wilburgstetten,327
Windelsbach,133
Windsbach,991
Wittelshofen,176
Wolframs-Eschenbach,388
Wörnitz,342
Landkreis Ansbach gesamt,29299
Stadt Ansbach,6696
