Stadt/Markt/Gemeinde,Vergleich zum 12.04.21
Adelshofen,0
Arberg,0
Aurach,0
Bechhofen,0
Bruckberg,0
Buch a.Wald,0
Burgoberbach,0
Burk,0
Colmberg,0
Dentlein,13
Diebach,0
Dietenhofen,4
Dinkelsbühl,8
Dombühl,4
Dürrwangen,0
Ehingen,0
Feuchtwangen,3
Flachslanden,0
Gebsattel,2
Gerolfingen,0
Geslau,0
Heilsbronn,1
Herrieden,1
Insingen,1
Langfurth,0
Lehrberg,3
Leutershausen,0
Lichtenau,0
Merkendorf,1
Mitteleschenbach,0
Mönchsroth,0
Neuendettelsau,0
"Neusitz, Mittelfr",1
Oberdachstetten,0
Ohrenbach,0
Ornbau,0
Petersaurach,0
Röckingen,0
Rothenburg ob der Tauber,12
Rügland,1
Sachsen b. Ansbach,2
Schillingsfürst,1
Schnelldorf,5
Schopfloch,0
Steinsfeld,0
Unterschwaningen,1
Wassertrüdingen,4
Weidenbach,1
Weihenzell,0
Weiltingen,2
Wettringen,0
Wieseth,4
Wilburgstetten,1
Windelsbach,0
Windsbach,1
Wittelshofen,0
Wolframs-Eschenbach,3
Wörnitz,1
Landkreis Ansbach gesamt,81
Stadt Ansbach,7
