Stadt/Markt/Gemeinde,Corona-Fälle gesamt*
Adelshofen,65
Arberg,164
Aurach,227
Bechhofen,620
Bruckberg,128
Buch a.Wald,68
Burgoberbach,260
Burk,154
Colmberg,127
Dentlein,181
Diebach,102
Dietenhofen,367
Dinkelsbühl,1252
Dombühl,265
Dürrwangen,233
Ehingen,313
Feuchtwangen,1318
Flachslanden,156
Gebsattel,141
Gerolfingen,91
Geslau,99
Heilsbronn,749
Herrieden,641
Insingen,86
Langfurth,222
Lehrberg,271
Leutershausen,483
Lichtenau,278
Merkendorf,263
Mitteleschenbach,128
Mönchsroth,136
Neuendettelsau,760
"Neusitz, Mittelfr",148
Oberdachstetten,116
Ohrenbach,33
Ornbau,141
Petersaurach,340
Röckingen,80
Rothenburg ob der Tauber,897
Rügland,107
Sachsen b. Ansbach,226
Schillingsfürst,224
Schnelldorf,382
Schopfloch,304
Steinsfeld,75
Unterschwaningen,92
Wassertrüdingen,755
Weidenbach,205
Weihenzell,202
Weiltingen,136
Wettringen,108
Wieseth,208
Wilburgstetten,195
Windelsbach,81
Windsbach,543
Wittelshofen,110
Wolframs-Eschenbach,214
Wörnitz,162
Landkreis Ansbach gesamt,16432
Stadt Ansbach,3569
