Stadt/Markt/Gemeinde,Corona-Fälle gesamt*
Adelshofen,70
Arberg,174
Aurach,240
Bechhofen,642
Bruckberg,140
Buch a.Wald,83
Burgoberbach,275
Burk,155
Colmberg,131
Dentlein,185
Diebach,110
Dietenhofen,387
Dinkelsbühl,1293
Dombühl,268
Dürrwangen,237
Ehingen,312
Feuchtwangen,1349
Flachslanden,161
Gebsattel,144
Gerolfingen,94
Geslau,110
Heilsbronn,773
Herrieden,661
Insingen,100
Langfurth,227
Lehrberg,276
Leutershausen,509
Lichtenau,286
Merkendorf,277
Mitteleschenbach,136
Mönchsroth,138
Neuendettelsau,778
"Neusitz, Mittelfr",153
Oberdachstetten,136
Ohrenbach,33
Ornbau,145
Petersaurach,358
Röckingen,80
Rothenburg ob der Tauber,916
Rügland,114
Sachsen b. Ansbach,229
Schillingsfürst,234
Schnelldorf,393
Schopfloch,316
Steinsfeld,77
Unterschwaningen,94
Wassertrüdingen,774
Weidenbach,208
Weihenzell,217
Weiltingen,136
Wettringen,109
Wieseth,211
Wilburgstetten,200
Windelsbach,84
Windsbach,552
Wittelshofen,111
Wolframs-Eschenbach,223
Wörnitz,167
Landkreis Ansbach gesamt,16991
Stadt Ansbach,3738
