Stadt/Markt/Gemeinde,Corona-Fälle gesamt*
Adelshofen,75
Arberg,175
Aurach,252
Bechhofen,650
Bruckberg,143
Buch a.Wald,100
Burgoberbach,294
Burk,156
Colmberg,140
Dentlein,189
Diebach,112
Dietenhofen,398
Dinkelsbühl,1381
Dombühl,274
Dürrwangen,242
Ehingen,329
Feuchtwangen,1421
Flachslanden,164
Gebsattel,145
Gerolfingen,99
Geslau,116
Heilsbronn,809
Herrieden,680
Insingen,106
Langfurth,234
Lehrberg,283
Leutershausen,543
Lichtenau,297
Merkendorf,291
Mitteleschenbach,139
Mönchsroth,147
Neuendettelsau,810
"Neusitz, Mittelfr",159
Oberdachstetten,142
Ohrenbach,33
Ornbau,153
Petersaurach,387
Röckingen,81
Rothenburg ob der Tauber,954
Rügland,118
Sachsen b. Ansbach,252
Schillingsfürst,248
Schnelldorf,399
Schopfloch,327
Steinsfeld,78
Unterschwaningen,101
Wassertrüdingen,794
Weidenbach,214
Weihenzell,220
Weiltingen,151
Wettringen,113
Wieseth,215
Wilburgstetten,214
Windelsbach,89
Windsbach,586
Wittelshofen,115
Wolframs-Eschenbach,234
Wörnitz,173
Landkreis Ansbach gesamt,17744
Stadt Ansbach,3915
