Stadt/Markt/Gemeinde,Corona-Fälle gesamt*
Adelshofen,80
Arberg,200
Aurach,318
Bechhofen,699
Bruckberg,151
Buch a.Wald,108
Burgoberbach,338
Burk,162
Colmberg,198
Dentlein,199
Diebach,119
Dietenhofen,510
Dinkelsbühl,1628
Dombühl,296
Dürrwangen,265
Ehingen,358
Feuchtwangen,1584
Flachslanden,194
Gebsattel,158
Gerolfingen,107
Geslau,134
Heilsbronn,924
Herrieden,774
Insingen,111
Langfurth,238
Lehrberg,304
Leutershausen,644
Lichtenau,345
Merkendorf,328
Mitteleschenbach,166
Mönchsroth,161
Neuendettelsau,918
"Neusitz, Mittelfr",182
Oberdachstetten,156
Ohrenbach,39
Ornbau,183
Petersaurach,435
Röckingen,88
Rothenburg ob der Tauber,1089
Rügland,128
Sachsen b. Ansbach,302
Schillingsfürst,262
Schnelldorf,442
Schopfloch,349
Steinsfeld,88
Unterschwaningen,107
Wassertrüdingen,863
Weidenbach,252
Weihenzell,243
Weiltingen,160
Wettringen,123
Wieseth,218
Wilburgstetten,226
Windelsbach,96
Windsbach,653
Wittelshofen,127
Wolframs-Eschenbach,258
Wörnitz,227
Landkreis Ansbach gesamt,20015
Stadt Ansbach,4553
