Stadt/Markt/Gemeinde,Vergleich zum 14.04.21
Adelshofen,0
Arberg,0
Aurach,0
Bechhofen,2
Bruckberg,2
Buch a.Wald,0
Burgoberbach,1
Burk,1
Colmberg,1
Dentlein,6
Diebach,5
Dietenhofen,6
Dinkelsbühl,1
Dombühl,17
Dürrwangen,0
Ehingen,2
Feuchtwangen,3
Flachslanden,0
Gebsattel,0
Gerolfingen,0
Geslau,0
Heilsbronn,5
Herrieden,3
Insingen,0
Langfurth,0
Lehrberg,1
Leutershausen,0
Lichtenau,0
Merkendorf,2
Mitteleschenbach,0
Mönchsroth,1
Neuendettelsau,3
"Neusitz, Mittelfr",0
Oberdachstetten,0
Ohrenbach,0
Ornbau,2
Petersaurach,1
Röckingen,0
Rothenburg ob der Tauber,3
Rügland,0
Sachsen b. Ansbach,1
Schillingsfürst,5
Schnelldorf,1
Schopfloch,2
Steinsfeld,0
Unterschwaningen,1
Wassertrüdingen,10
Weidenbach,0
Weihenzell,0
Weiltingen,0
Wettringen,1
Wieseth,1
Wilburgstetten,1
Windelsbach,0
Windsbach,1
Wittelshofen,0
Wolframs-Eschenbach,1
Wörnitz,4
Landkreis Ansbach gesamt,97
Stadt Ansbach,14
