Stadt/Markt/Gemeinde,Corona-Fälle gesamt*
Adelshofen,37
Arberg,52
Aurach,104
Bechhofen,293
Bruckberg,62
Buch a.Wald,39
Burgoberbach,117
Burk,96
Colmberg,76
Dentlein,116
Diebach,47
Dietenhofen,206
Dinkelsbühl,739
Dombühl,152
Dürrwangen,134
Ehingen,109
Feuchtwangen,793
Flachslanden,75
Gebsattel,89
Gerolfingen,40
Geslau,45
Heilsbronn,404
Herrieden,350
Insingen,48
Langfurth,110
Lehrberg,151
Leutershausen,171
Lichtenau,106
Merkendorf,114
Mitteleschenbach,63
Mönchsroth,80
Neuendettelsau,418
"Neusitz, Mittelfr",102
Oberdachstetten,68
Ohrenbach,24
Ornbau,69
Petersaurach,202
Röckingen,35
Rothenburg ob der Tauber,619
Rügland,48
Sachsen b. Ansbach,103
Schillingsfürst,143
Schnelldorf,228
Schopfloch,144
Steinsfeld,49
Unterschwaningen,57
Wassertrüdingen,462
Weidenbach,114
Weihenzell,118
Weiltingen,88
Wettringen,59
Wieseth,110
Wilburgstetten,84
Windelsbach,52
Windsbach,264
Wittelshofen,59
Wolframs-Eschenbach,122
Wörnitz,101
Landkreis Ansbach gesamt,896
Stadt Ansbach,2129
