Stadt/Markt/Gemeinde,Corona-Fälle gesamt*
Adelshofen,37
Arberg,52
Aurach,104
Bechhofen,295
Bruckberg,63
Buch a.Wald,43
Burgoberbach,126
Burk,96
Colmberg,76
Dentlein,116
Diebach,47
Dietenhofen,210
Dinkelsbühl,744
Dombühl,152
Dürrwangen,137
Ehingen,109
Feuchtwangen,813
Flachslanden,76
Gebsattel,89
Gerolfingen,40
Geslau,45
Heilsbronn,408
Herrieden,351
Insingen,48
Langfurth,110
Lehrberg,156
Leutershausen,172
Lichtenau,107
Merkendorf,114
Mitteleschenbach,63
Mönchsroth,80
Neuendettelsau,424
"Neusitz, Mittelfr",102
Oberdachstetten,69
Ohrenbach,24
Ornbau,70
Petersaurach,208
Röckingen,35
Rothenburg ob der Tauber,628
Rügland,48
Sachsen b. Ansbach,110
Schillingsfürst,148
Schnelldorf,228
Schopfloch,144
Steinsfeld,49
Unterschwaningen,57
Wassertrüdingen,463
Weidenbach,115
Weihenzell,118
Weiltingen,88
Wettringen,63
Wieseth,110
Wilburgstetten,84
Windelsbach,52
Windsbach,266
Wittelshofen,59
Wolframs-Eschenbach,124
Wörnitz,101
Landkreis Ansbach gesamt,966
Stadt Ansbach,2161
