Stadt/Markt/Gemeinde,Corona-Fälle gesamt*
Adelshofen,37
Arberg,50
Aurach,104
Bechhofen,260
Bruckberg,60
Buch a.Wald,36
Burgoberbach,111
Burk,96
Colmberg,76
Dentlein,111
Diebach,46
Dietenhofen,200
Dinkelsbühl,715
Dombühl,148
Dürrwangen,127
Ehingen,109
Feuchtwangen,787
Flachslanden,73
Gebsattel,89
Gerolfingen,40
Geslau,45
Heilsbronn,370
Herrieden,347
Insingen,48
Langfurth,110
Lehrberg,149
Leutershausen,163
Lichtenau,106
Merkendorf,109
Mitteleschenbach,61
Mönchsroth,80
Neuendettelsau,403
"Neusitz, Mittelfr",92
Oberdachstetten,67
Ohrenbach,23
Ornbau,68
Petersaurach,200
Röckingen,35
Rothenburg ob der Tauber,594
Rügland,41
Sachsen b. Ansbach,99
Schillingsfürst,139
Schnelldorf,223
Schopfloch,142
Steinsfeld,49
Unterschwaningen,57
Wassertrüdingen,456
Weidenbach,111
Weihenzell,117
Weiltingen,88
Wettringen,54
Wieseth,110
Wilburgstetten,81
Windelsbach,49
Windsbach,256
Wittelshofen,59
Wolframs-Eschenbach,122
Wörnitz,98
Landkreis Ansbach gesamt,8696
Stadt Ansbach,2045
