Stadt/Markt/Gemeinde,Corona-Fälle gesamt*
Adelshofen,40
Arberg,52
Aurach,108
Bechhofen,314
Bruckberg,65
Buch a.Wald,43
Burgoberbach,126
Burk,96
Colmberg,76
Dentlein,121
Diebach,47
Dietenhofen,215
Dinkelsbühl,772
Dombühl,164
Dürrwangen,156
Ehingen,111
Feuchtwangen,888
Flachslanden,76
Gebsattel,91
Gerolfingen,40
Geslau,45
Heilsbronn,427
Herrieden,361
Insingen,48
Langfurth,115
Lehrberg,162
Leutershausen,177
Lichtenau,110
Merkendorf,114
Mitteleschenbach,65
Mönchsroth,81
Neuendettelsau,439
"Neusitz, Mittelfr",102
Oberdachstetten,69
Ohrenbach,26
Ornbau,70
Petersaurach,212
Röckingen,35
Rothenburg ob der Tauber,655
Rügland,49
Sachsen b. Ansbach,119
Schillingsfürst,149
Schnelldorf,236
Schopfloch,183
Steinsfeld,49
Unterschwaningen,57
Wassertrüdingen,469
Weidenbach,116
Weihenzell,124
Weiltingen,88
Wettringen,66
Wieseth,110
Wilburgstetten,86
Windelsbach,52
Windsbach,286
Wittelshofen,59
Wolframs-Eschenbach,125
Wörnitz,107
Landkreis Ansbach gesamt,9443999999999999
Stadt Ansbach,2219
