Stadt/Markt/Gemeinde,Corona-Fälle gesamt*
Adelshofen,37
Arberg,50
Aurach,104
Bechhofen,271
Bruckberg,61
Buch a.Wald,37
Burgoberbach,112
Burk,96
Colmberg,76
Dentlein,116
Diebach,47
Dietenhofen,202
Dinkelsbühl,732
Dombühl,150
Dürrwangen,127
Ehingen,109
Feuchtwangen,789
Flachslanden,75
Gebsattel,89
Gerolfingen,40
Geslau,45
Heilsbronn,398
Herrieden,348
Insingen,48
Langfurth,110
Lehrberg,149
Leutershausen,168
Lichtenau,106
Merkendorf,114
Mitteleschenbach,63
Mönchsroth,80
Neuendettelsau,405
"Neusitz, Mittelfr",96
Oberdachstetten,68
Ohrenbach,23
Ornbau,68
Petersaurach,201
Röckingen,35
Rothenburg ob der Tauber,604
Rügland,46
Sachsen b. Ansbach,100
Schillingsfürst,143
Schnelldorf,226
Schopfloch,143
Steinsfeld,49
Unterschwaningen,57
Wassertrüdingen,458
Weidenbach,112
Weihenzell,118
Weiltingen,88
Wettringen,57
Wieseth,110
Wilburgstetten,83
Windelsbach,51
Windsbach,260
Wittelshofen,59
Wolframs-Eschenbach,122
Wörnitz,100
Landkreis Ansbach gesamt,8831
Stadt Ansbach,2088
