Stadt/Markt/Gemeinde,Corona-Fälle gesamt*
Adelshofen,43
Arberg,53
Aurach,116
Bechhofen,327
Bruckberg,66
Buch a.Wald,43
Burgoberbach,141
Burk,99
Colmberg,78
Dentlein,122
Diebach,49
Dietenhofen,231
Dinkelsbühl,832
Dombühl,191
Dürrwangen,163
Ehingen,112
Feuchtwangen,970
Flachslanden,82
Gebsattel,93
Gerolfingen,42
Geslau,49
Heilsbronn,458
Herrieden,378
Insingen,50
Langfurth,130
Lehrberg,164
Leutershausen,195
Lichtenau,114
Merkendorf,115
Mitteleschenbach,66
Mönchsroth,90
Neuendettelsau,464
"Neusitz, Mittelfr",104
Oberdachstetten,72
Ohrenbach,26
Ornbau,76
Petersaurach,226
Röckingen,39
Rothenburg ob der Tauber,664
Rügland,50
Sachsen b. Ansbach,126
Schillingsfürst,156
Schnelldorf,256
Schopfloch,214
Steinsfeld,50
Unterschwaningen,63
Wassertrüdingen,487
Weidenbach,117
Weihenzell,131
Weiltingen,92
Wettringen,76
Wieseth,111
Wilburgstetten,105
Windelsbach,54
Windsbach,301
Wittelshofen,65
Wolframs-Eschenbach,128
Wörnitz,108
Landkreis Ansbach gesamt,10023
Stadt Ansbach,2301
