Stadt/Markt/Gemeinde,Corona-Fälle gesamt*
Adelshofen,42
Arberg,53
Aurach,109
Bechhofen,322
Bruckberg,65
Buch a.Wald,43
Burgoberbach,134
Burk,98
Colmberg,76
Dentlein,122
Diebach,47
Dietenhofen,219
Dinkelsbühl,804
Dombühl,179
Dürrwangen,159
Ehingen,113
Feuchtwangen,927
Flachslanden,76
Gebsattel,92
Gerolfingen,40
Geslau,45
Heilsbronn,439
Herrieden,368
Insingen,49
Langfurth,116
Lehrberg,163
Leutershausen,187
Lichtenau,112
Merkendorf,115
Mitteleschenbach,65
Mönchsroth,88
Neuendettelsau,446
"Neusitz, Mittelfr",102
Oberdachstetten,71
Ohrenbach,26
Ornbau,75
Petersaurach,213
Röckingen,37
Rothenburg ob der Tauber,660
Rügland,49
Sachsen b. Ansbach,120
Schillingsfürst,153
Schnelldorf,247
Schopfloch,211
Steinsfeld,50
Unterschwaningen,59
Wassertrüdingen,472
Weidenbach,116
Weihenzell,125
Weiltingen,91
Wettringen,70
Wieseth,110
Wilburgstetten,95
Windelsbach,53
Windsbach,294
Wittelshofen,63
Wolframs-Eschenbach,127
Wörnitz,108
Landkreis Ansbach gesamt,971
Stadt Ansbach,2250
