Stadt/Markt/Gemeinde,Corona-Fälle gesamt*
Adelshofen,37
Arberg,48
Aurach,105
Bechhofen,258
Bruckberg,60
Buch a.Wald,36
Burgoberbach,111
Burk,96
Colmberg,76
Dentlein,109
Diebach,46
Dietenhofen,196
Dinkelsbühl,709
Dombühl,143
Dürrwangen,125
Ehingen,108
Feuchtwangen,777
Flachslanden,73
Gebsattel,86
Gerolfingen,40
Geslau,45
Heilsbronn,366
Herrieden,346
Insingen,48
Langfurth,110
Lehrberg,148
Leutershausen,162
Lichtenau,106
Merkendorf,107
Mitteleschenbach,61
Mönchsroth,80
Neuendettelsau,401
"Neusitz, Mittelfr",91
Oberdachstetten,64
Ohrenbach,23
Ornbau,68
Petersaurach,198
Röckingen,35
Rothenburg ob der Tauber,582
Rügland,38
Sachsen b. Ansbach,99
Schillingsfürst,135
Schnelldorf,223
Schopfloch,135
Steinsfeld,49
Unterschwaningen,54
Wassertrüdingen,454
Weidenbach,111
Weihenzell,117
Weiltingen,88
Wettringen,53
Wieseth,109
Wilburgstetten,81
Windelsbach,47
Windsbach,254
Wittelshofen,60
Wolframs-Eschenbach,121
Wörnitz,98
Landkreis Ansbach gesamt,8606
Stadt Ansbach,1998
