,23.11.2021
Bad Berleburg,5
Bad Laasphe,0
Burbach,1
Erndtebrück,1
Freudenberg,3
Hilchenbach,0
Kreuztal,4
Netphen,7
Neunkirchen,2
Siegen,25
Wilnsdorf,4
