,13.10.2021
Bad Berleburg,0
Bad Laasphe,0
Burbach,2
Erndtebrück,1
Freudenberg,1
Hilchenbach,1
Kreuztal,8
Netphen,7
Neunkirchen,6
Siegen,18
Wilnsdorf,1
