,10.12.2021
Bad Berleburg,15
Bad Laasphe,13
Burbach,6
Erndtebrück,3
Freudenberg,15
Hilchenbach,8
Kreuztal,15
Netphen,0
Neunkirchen,5
Siegen,57
Wilnsdorf,12
