,17.11.2021
Bad Berleburg,8
Bad Laasphe,7
Burbach,9
Erndtebrück,4
Freudenberg,4
Hilchenbach,5
Kreuztal,13
Netphen,13
Neunkirchen,4
Siegen,37
Wilnsdorf,13
