,16.12.2021
Bad Berleburg,6
Bad Laasphe,11
Burbach,6
Erndtebrück,3
Freudenberg,4
Hilchenbach,8
Kreuztal,16
Netphen,6
Neunkirchen,10
Siegen,76
Wilnsdorf,8
