,30.11.2021
Bad Berleburg,2
Bad Laasphe,5
Burbach,0
Erndtebrück,0
Freudenberg,0
Hilchenbach,1
Kreuztal,2
Netphen,2
Neunkirchen,3
Siegen,7
Wilnsdorf,0
