,18.11.2021
Bad Berleburg,9
Bad Laasphe,2
Burbach,8
Erndtebrück,2
Freudenberg,4
Hilchenbach,4
Kreuztal,5
Netphen,4
Neunkirchen,2
Siegen,38
Wilnsdorf,9
