,04.11.2021
Bad Berleburg,6
Bad Laasphe,1
Burbach,3
Erndtebrück,0
Freudenberg,9
Hilchenbach,2
Kreuztal,9
Netphen,7
Neunkirchen,2
Siegen,59
Wilnsdorf,6
