,02.11.2021
Bad Berleburg,13
Bad Laasphe,2
Burbach,6
Erndtebrück,1
Freudenberg,7
Hilchenbach,5
Kreuztal,12
Netphen,13
Neunkirchen,4
Siegen,41
Wilnsdorf,2
