,03.11.2021
Bad Berleburg,1
Bad Laasphe,1
Burbach,0
Erndtebrück,0
Freudenberg,4
Hilchenbach,1
Kreuztal,1
Netphen,1
Neunkirchen,1
Siegen,8
Wilnsdorf,0
