,15.11.2021
Bad Berleburg,9
Bad Laasphe,18
Burbach,16
Erndtebrück,2
Freudenberg,3
Hilchenbach,10
Kreuztal,13
Netphen,8
Neunkirchen,5
Siegen,70
Wilnsdorf,10
