,15.10.2021
Bad Berleburg,0
Bad Laasphe,0
Burbach,3
Erndtebrück,0
Freudenberg,0
Hilchenbach,0
Kreuztal,2
Netphen,2
Neunkirchen,1
Siegen,14
Wilnsdorf,1
