,27.10.2021
Bad Berleburg,3
Bad Laasphe,2
Burbach,5
Erndtebrück,2
Freudenberg,6
Hilchenbach,3
Kreuztal,20
Netphen,9
Neunkirchen,0
Siegen,39
Wilnsdorf,3
