,16.06.2021
Bad Berleburg,0
Bad Laasphe,0
Burbach,4
Erndtebrück,0
Freudenberg,0
Hilchenbach,0
Kreuztal,1
Netphen,5
Neunkirchen,3
Siegen,1
Wilnsdorf,3
