,last7,last14,mix,Gemeinde
Bad Berleburg,1,6,1.0,Bad Berleburg
Bad Laasphe,2,8,2.0,Bad Laasphe
Burbach,3,11,3.0,Burbach
Erndtebrück,2,3,2.0,Erndtebrück
Freudenberg,32,65,32.0,Freudenberg
Hilchenbach,14,28,14.0,Hilchenbach
Kreuztal,34,71,34.0,Kreuztal
Netphen,13,46,13.0,Netphen
Neunkirchen,6,16,6.0,Neunkirchen
Siegen,135,412,135.0,Siegen
Wilnsdorf,10,26,10.0,Wilnsdorf
