,24.06.2021
Bad Berleburg,0
Bad Laasphe,0
Burbach,1
Erndtebrück,0
Freudenberg,0
Hilchenbach,0
Kreuztal,1
Netphen,1
Neunkirchen,1
Siegen,0
Wilnsdorf,0
