,26.11.2021
Bad Berleburg,2
Bad Laasphe,5
Burbach,5
Erndtebrück,1
Freudenberg,7
Hilchenbach,1
Kreuztal,12
Netphen,13
Neunkirchen,1
Siegen,49
Wilnsdorf,10
