,25.11.2021
Bad Berleburg,12
Bad Laasphe,6
Burbach,9
Erndtebrück,0
Freudenberg,14
Hilchenbach,9
Kreuztal,18
Netphen,27
Neunkirchen,2
Siegen,61
Wilnsdorf,14
