,07.09.2021
Bad Berleburg,1
Bad Laasphe,1
Burbach,0
Erndtebrück,1
Freudenberg,3
Hilchenbach,0
Kreuztal,0
Netphen,2
Neunkirchen,0
Siegen,13
Wilnsdorf,3
