,07.10.2021
Bad Berleburg,2
Bad Laasphe,0
Burbach,0
Erndtebrück,0
Freudenberg,3
Hilchenbach,0
Kreuztal,6
Netphen,3
Neunkirchen,5
Siegen,13
Wilnsdorf,1
