,02.09.2021
Bad Berleburg,2
Bad Laasphe,0
Burbach,3
Erndtebrück,0
Freudenberg,9
Hilchenbach,7
Kreuztal,12
Netphen,11
Neunkirchen,2
Siegen,82
Wilnsdorf,6
