,17.08.2021
Bad Berleburg,0
Bad Laasphe,0
Burbach,1
Erndtebrück,0
Freudenberg,1
Hilchenbach,0
Kreuztal,1
Netphen,3
Neunkirchen,0
Siegen,8
Wilnsdorf,0
