,04.01.2022
Bad Berleburg,0
Bad Laasphe,0
Burbach,2
Erndtebrück,0
Freudenberg,2
Hilchenbach,0
Kreuztal,4
Netphen,1
Neunkirchen,1
Siegen,18
Wilnsdorf,1
