,17.12.2021
Bad Berleburg,0
Bad Laasphe,5
Burbach,6
Erndtebrück,1
Freudenberg,4
Hilchenbach,7
Kreuztal,8
Netphen,1
Neunkirchen,6
Siegen,42
Wilnsdorf,6
