,07.06.2021
Bad Berleburg,2
Bad Laasphe,1
Burbach,0
Erndtebrück,0
Freudenberg,0
Hilchenbach,0
Kreuztal,1
Netphen,0
Neunkirchen,0
Siegen,15
Wilnsdorf,0
