,01_20_2022,neu
Augustdorf,2166,7
Bad Salzuflen,5646,55
Barntrup,794,7
Blomberg,1532,19
Detmold,7787,87
Dörentrup,587,12
Extertal,556,8
Horn-Bad Meinberg,1539,15
Kalletal,1229,6
Lage,4272,27
Lemgo,3858,12
Leopoldshöhe,1882,21
Lügde,448,13
Oerlinghausen,1423,17
Schieder-Schwalenberg,736,5
Schlangen,806,1
