,12_17_2021,neu
Augustdorf,1772,20
Bad Salzuflen,4838,49
Barntrup,656,7
Blomberg,1290,12
Detmold,6457,64
Dörentrup,509,11
Extertal,468,1
Horn-Bad Meinberg,1258,5
Kalletal,977,11
Lage,3541,35
Lemgo,3327,51
Leopoldshöhe,1562,24
Lügde,383,5
Oerlinghausen,1170,8
Schieder-Schwalenberg,609,2
Schlangen,671,6
