,02_05_2022,neu
Augustdorf,2447,33
Bad Salzuflen,6746,114
Barntrup,921,9
Blomberg,1933,18
Detmold,9841,159
Dörentrup,683,6
Extertal,710,28
Horn-Bad Meinberg,1874,13
Kalletal,1385,16
Lage,5060,50
Lemgo,4502,44
Leopoldshöhe,2270,27
Lügde,639,17
Oerlinghausen,1752,40
Schieder-Schwalenberg,911,14
Schlangen,946,18
