,02_11_2022,neu
Augustdorf,2581,34
Bad Salzuflen,7321,145
Barntrup,986,14
Blomberg,2083,35
Detmold,10708,222
Dörentrup,716,4
Extertal,866,20
Horn-Bad Meinberg,2033,36
Kalletal,1464,21
Lage,5424,104
Lemgo,4872,86
Leopoldshöhe,2539,85
Lügde,720,14
Oerlinghausen,1862,19
Schieder-Schwalenberg,994,16
Schlangen,1068,29
