,12_15_2021,neu
Augustdorf,1736,20
Bad Salzuflen,4745,45
Barntrup,643,8
Blomberg,1267,19
Detmold,6343,83
Dörentrup,495,20
Extertal,466,6
Horn-Bad Meinberg,1237,9
Kalletal,959,7
Lage,3475,41
Lemgo,3243,50
Leopoldshöhe,1522,34
Lügde,376,3
Oerlinghausen,1149,20
Schieder-Schwalenberg,603,4
Schlangen,637,11
