,12_09_2021,neu
Augustdorf,1662,10
Bad Salzuflen,4553,54
Barntrup,600,7
Blomberg,1186,12
Detmold,6001,41
Dörentrup,442,9
Extertal,445,2
Horn-Bad Meinberg,1195,8
Kalletal,923,7
Lage,3328,19
Lemgo,3043,29
Leopoldshöhe,1430,33
Lügde,366,3
Oerlinghausen,1093,11
Schieder-Schwalenberg,580,4
Schlangen,576,14
