,09_22_2021,neu
Augustdorf,1202,13
Bad Salzuflen,3597,5
Barntrup,420,3
Blomberg,845,7
Detmold,4331,25
Dörentrup,212,0
Extertal,333,2
Horn-Bad Meinberg,916,2
Kalletal,661,0
Lage,2558,11
Lemgo,2122,18
Leopoldshöhe,936,4
Lügde,302,1
Oerlinghausen,823,3
Schieder-Schwalenberg,444,1
Schlangen,358,2
