,08_23_2021,neu
Augustdorf,987,0
Bad Salzuflen,3347,0
Barntrup,390,0
Blomberg,769,0
Detmold,3845,0
Dörentrup,189,0
Extertal,323,0
Horn-Bad Meinberg,860,0
Kalletal,576,0
Lage,2298,0
Lemgo,1899,0
Leopoldshöhe,841,0
Lügde,247,0
Oerlinghausen,707,0
Schieder-Schwalenberg,416,0
Schlangen,310,0
