,08_18_2021,neu
Augustdorf,978,2
Bad Salzuflen,3303,12
Barntrup,387,0
Blomberg,762,1
Detmold,3778,10
Dörentrup,188,1
Extertal,319,0
Horn-Bad Meinberg,859,3
Kalletal,570,1
Lage,2278,2
Lemgo,1883,4
Leopoldshöhe,829,5
Lügde,238,3
Oerlinghausen,681,0
Schieder-Schwalenberg,411,1
Schlangen,306,0
