,10_01_2021,neu
Augustdorf,1284,13
Bad Salzuflen,3628,7
Barntrup,434,2
Blomberg,858,1
Detmold,4485,18
Dörentrup,228,3
Extertal,336,0
Horn-Bad Meinberg,937,6
Kalletal,684,9
Lage,2654,12
Lemgo,2205,10
Leopoldshöhe,951,1
Lügde,313,1
Oerlinghausen,840,6
Schieder-Schwalenberg,456,1
Schlangen,367,0
