,08_31_2021,neu
Augustdorf,999,8
Bad Salzuflen,3418,13
Barntrup,402,1
Blomberg,780,1
Detmold,3954,18
Dörentrup,190,0
Extertal,323,0
Horn-Bad Meinberg,867,3
Kalletal,609,2
Lage,2339,10
Lemgo,1918,3
Leopoldshöhe,865,6
Lügde,258,3
Oerlinghausen,760,2
Schieder-Schwalenberg,422,0
Schlangen,328,2
