,01_12_2022,neu
Augustdorf,2011,24
Bad Salzuflen,5340,45
Barntrup,775,6
Blomberg,1414,14
Detmold,7306,78
Dörentrup,553,3
Extertal,518,4
Horn-Bad Meinberg,1445,9
Kalletal,1182,5
Lage,4047,27
Lemgo,3724,20
Leopoldshöhe,1777,8
Lügde,420,5
Oerlinghausen,1343,10
Schieder-Schwalenberg,700,6
Schlangen,785,7
