,11_12_2021,neu
Augustdorf,1444,2
Bad Salzuflen,3983,11
Barntrup,494,5
Blomberg,962,10
Detmold,5103,20
Dörentrup,304,6
Extertal,381,3
Horn-Bad Meinberg,1028,3
Kalletal,802,3
Lage,2940,14
Lemgo,2550,10
Leopoldshöhe,1125,7
Lügde,335,1
Oerlinghausen,933,2
Schieder-Schwalenberg,496,3
Schlangen,423,6
