,10_20_2021,neu
Augustdorf,1337,2
Bad Salzuflen,3716,10
Barntrup,454,1
Blomberg,874,1
Detmold,4785,24
Dörentrup,255,2
Extertal,357,1
Horn-Bad Meinberg,979,4
Kalletal,730,3
Lage,2747,6
Lemgo,2340,16
Leopoldshöhe,1012,5
Lügde,321,0
Oerlinghausen,873,1
Schieder-Schwalenberg,475,0
Schlangen,372,0
