,12_08_2021,neu
Augustdorf,1652,17
Bad Salzuflen,4499,63
Barntrup,593,9
Blomberg,1174,20
Detmold,5960,64
Dörentrup,433,7
Extertal,443,3
Horn-Bad Meinberg,1187,6
Kalletal,916,6
Lage,3309,24
Lemgo,3014,46
Leopoldshöhe,1397,11
Lügde,363,4
Oerlinghausen,1082,4
Schieder-Schwalenberg,576,4
Schlangen,562,22
