,12_02_2021,neu
Augustdorf,1587,11
Bad Salzuflen,4284,31
Barntrup,553,7
Blomberg,1093,12
Detmold,5689,34
Dörentrup,402,3
Extertal,425,4
Horn-Bad Meinberg,1150,5
Kalletal,885,5
Lage,3190,25
Lemgo,2851,33
Leopoldshöhe,1311,12
Lügde,350,1
Oerlinghausen,1050,11
Schieder-Schwalenberg,548,3
Schlangen,501,8
